id_no,unique_number,name_en,name_fr,name_es,category,category_short,criteria_codes,criteria_count,country_en,country_fr,country_es,countries_en,countries_fr,countries_es,country_count,iso_code,udnp_code,region_en,transboundary,latitude,longitude,area_hectares,date_inscribed,site_age_years,in_danger,ever_in_danger,danger_since,danger_status,short_description,justification,unesco_url
208,230,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Paysage culturel et vestiges archéologiques de la vallée de Bamiyan,Paisaje cultural y vestigios arqueológicos del Valle de Bamiyán,Cultural,C,C1;C2;C3;C4;C6,5,Afghanistan,Afghanistan,Afganistán,Afghanistan,Afghanistan,Afganistán,1,af,afg,Asia and the Pacific,False,34.84694,67.82525,158.9265,2003,23,True,True,2003,Y 2003,"The cultural landscape and archaeological remains of the Bamiyan Valley represent the artistic and religious developments which from the 1st to the 13th centuries characterized ancient Bakhtria, integrating various cultural influences into the Gandhara school of Buddhist art. The area contains numerous Buddhist monastic ensembles and sanctuaries, as well as fortified edifices from the Islamic period. The site is also testimony to the tragic destruction by the Taliban of the two standing Buddha statues, which shook the world in March 2001.","Criterion (i): The Buddha statues and the cave art in Bamiyan Valley are an outstanding representation of the Gandharan school in Buddhist art in the Central Asian region. Criterion (ii) : The artistic and architectural remains of Bamiyan Valley, and an important Buddhist centre on the Silk Road, are an exceptional testimony to the interchange of Indian, Hellenistic, Roman, Sasanian influences as the basis for the development of a particular artistic expression in the Gandharan school. To this can be added the Islamic influence in a later period. Criterion (iii): The Bamiyan Valley bears an exceptional testimony to a cultural tradition in the Central Asian region, which has disappeared. Criterion (iv): The Bamiyan Valley is an outstanding example of a cultural landscape which illustrates a significant period in Buddhism. Criterion (vi): The Bamiyan Valley is the most monumental expression of the western Buddhism. It was an important centre of pilgrimage over many centuries. Due to their symbolic values, the monuments have suffered at different times of their existence, including the deliberate destruction in 2001, which shook the whole world.",https://whc.unesco.org/en/list/208/
211,234,Minaret and Archaeological Remains of Jam,Minaret et vestiges archéologiques de Djam,Minarete y vestigios arqueológicos de Jam,Cultural,C,C2;C3;C4,3,Afghanistan,Afghanistan,Afganistán,Afghanistan,Afghanistan,Afganistán,1,af,afg,Asia and the Pacific,False,34.39641667,64.51588889,70.0,2002,24,True,True,2002,Y 2002,"The 65m-tall Minaret of Jam is a graceful, soaring structure, dating back to the 12th century. Covered in elaborate brickwork with a blue tile inscription at the top, it is noteworthy for the quality of its architecture and decoration, which represent the culmination of an architectural and artistic tradition in this region. Its impact is heightened by its dramatic setting, a deep river valley between towering mountains in the heart of the Ghur province.",Criterion (ii): The innovative architecture and decoration of the Minaret of Jam played a significant role in the development of the arts and architecture of the Indian sub-continent and beyond. Criterion (iii): The Minaret of Jam and its associated archaeological remains constitute exceptional testimony to the power and quality of the Ghurid civilization that dominated its region in the 12th and 13th centuries. Criterion (iv): The Minaret of Jam is an outstanding example of Islamic architecture and ornamentation in this region and played a significant role in their further dissemination.,https://whc.unesco.org/en/list/211/
569,1590,Historic Centres of Berat and Gjirokastra,Centres historiques de Berat et de Gjirokastra,Ciudad Museo de Gjirokastra,Cultural,C,C3;C4,2,Albania,Albanie,Albania,Albania,Albanie,Albania,1,al,alb,Europe and North America,False,40.07416667,20.14083333,58.9,2005,21,False,False,,,"Berat and Gjirokastra are inscribed as rare examples of an architectural character typical of the Ottoman period. Located in central Albania, Berat bears witness to the coexistence of various religious and cultural communities down the centuries. It features a castle, locally known as the Kala, most of which was built in the 13th century, although its origins date back to the 4th century BC. The citadel area numbers many Byzantine churches, mainly from the 13th century, as well as several mosques built under the Ottoman era which began in 1417. Gjirokastra, in the Drinos river valley in southern Albania, features a series of outstanding two-story houses which were developed in the 17th century. The town also retains a bazaar, an 18th-century mosque and two churches of the same period.",,https://whc.unesco.org/en/list/569/
570,1563,Butrint,Butrint,Butrinto,Cultural,C,C3,1,Albania,Albanie,Albania,Albania,Albanie,Albania,1,al,alb,Europe and North America,False,39.745732,20.02095,,1992,34,False,True,,P 1997-2005,"Inhabited since prehistoric times, Butrint has been the site of a Greek colony, a Roman city and a bishopric. Following a period of prosperity under Byzantine administration, then a brief occupation by the Venetians, the city was abandoned in the late Middle Ages after marshes formed in the area. The present archaeological site is a repository of ruins representing each period in the city’s development.",,https://whc.unesco.org/en/list/570/
102,111,Al Qal'a of Beni Hammad,La Kalâa des Béni Hammad,Kalâa de los Béni-Hammad,Cultural,C,C3,1,Algeria,Algérie,Argelia,Algeria,Algérie,Argelia,1,dz,dza,Arab States,False,35.81844,4.78684,150.0,1980,46,False,False,,,"In a mountainous site of extraordinary beauty, the ruins of the first capital of the Hammadid emirs, founded in 1007 and demolished in 1152, provide an authentic picture of a fortified Muslim city. The mosque, whose prayer room has 13 aisles with eight bays, is one of the largest in Algeria.",,https://whc.unesco.org/en/list/102/
179,198,Tassili n'Ajjer,Tassili n'Ajjer,Tasili n’Ajer,Mixed,C/N,C1;C3;N7;N8,4,Algeria,Algérie,Argelia,Algeria,Algérie,Argelia,1,dz,dza,Arab States,False,25.5,9.0,7200000.0,1982,44,False,False,,,"Located in a strange lunar landscape of great geological interest, this site has one of the most important groupings of prehistoric cave art in the world. More than 15,000 drawings and engravings record the climatic changes, the animal migrations and the evolution of human life on the edge of the Sahara from 6000 BC to the first centuries of the present era. The geological formations are of outstanding scenic interest, with eroded sandstones forming ‘forests of rock’.",,https://whc.unesco.org/en/list/179/
188,209,M'Zab Valley,Vallée du M'Zab,Valle del M’Zab,Cultural,C,C2;C3;C5,3,Algeria,Algérie,Argelia,Algeria,Algérie,Argelia,1,dz,dza,Arab States,False,32.48333,3.68333,665.03,1982,44,False,False,,,"A traditional human habitat, created in the 10th century by the Ibadites around their five ksour (fortified cities), has been preserved intact in the M’Zab valley. Simple, functional and perfectly adapted to the environment, the architecture of M’Zab was designed for community living, while respecting the structure of the family. It is a source of inspiration for today’s urban planners.",,https://whc.unesco.org/en/list/188/
191,212,Djémila,Djémila,Yemila,Cultural,C,C3;C4,2,Algeria,Algérie,Argelia,Algeria,Algérie,Argelia,1,dz,dza,Arab States,False,36.32056,5.73667,30.6,1982,44,False,False,,,"Situated 900 m above sea-level, Djémila, or Cuicul, with its forum, temples, basilicas, triumphal arches and houses, is an interesting example of Roman town planning adapted to a mountain location.",,https://whc.unesco.org/en/list/191/
193,214,Tipasa,Tipasa,Tipasa,Cultural,C,C3;C4,2,Algeria,Algérie,Argelia,Algeria,Algérie,Argelia,1,dz,dza,Arab States,False,36.55,2.383333333,52.16,1982,44,False,True,,P 2002-2006,"On the shores of the Mediterranean, Tipasa was an ancient Punic trading-post conquered by Rome and turned into a strategic base for the conquest of the kingdoms of Mauritania. It comprises a unique group of Phoenician, Roman, palaeochristian and Byzantine ruins alongside indigenous monuments such as the Kbor er Roumia, the great royal mausoleum of Mauretania.",,https://whc.unesco.org/en/list/193/
194,215,Timgad,Timgad,Timgad,Cultural,C,C2;C3;C4,3,Algeria,Algérie,Argelia,Algeria,Algérie,Argelia,1,dz,dza,Arab States,False,35.48416667,6.468861111,90.54,1982,44,False,False,,,"Timgad lies on the northern slopes of the Aurès mountains and was created ex nihilo as a military colony by the Emperor Trajan in AD 100. With its square enclosure and orthogonal design based on the cardo and decumanus , the two perpendicular routes running through the city, it is an excellent example of Roman town planning.",,https://whc.unesco.org/en/list/194/
